mission	display_name
mission_npcmoments_gra_fa_stolenmachineparts	Stolen Machine Parts
mission_npcmoments_gra_fa_talltales	Tall Tales
mission_npcmoments_gra_hub_aboutrush	About Rush
mission_npcmoments_gra_hub_legendofsal	Legend Of Chuzz
mission_npcmoments_gra_ow_dinnerconversation	Dinner Conversation
mission_npcmoments_gra_ow_inventorycheck	Inventory Check
mission_npcmoments_gra_ow_kidsthesedays	What's With Kids These Days
mission_npcmoments_gra_ow_legendofvaulthunter	Legend of the Vault Hunters
mission_npcmoments_gra_ow_ordervsripper	Order vs Ripper
mission_npcmoments_gra_ow_ripperbreakup	Ripper Break-Up
mission_npcmoments_gra_ow_ripperfuneral	Ripper Funeral
mission_npcmoments_gra_ow_rockandroll	Rock and Roll
mission_npcmoments_gra_ow_synthdetainsgrazer	Synth Detains Grazer
mission_npcmoments_gra_ow_synthshootingconvo	Synth Shooting Conversation
mission_npcmoments_gra_sh_augbounders	Augbounders
mission_npcmoments_gra_sh_electidefector	Electi Defector
mission_npcmoments_hub_outbounderlosinghope	Outbounders Losing Hope
mission_npcmoments_mou_hub_augerdiscussion	NPC Moment - Auger Discussion
mission_npcmoments_sha_fa_electibeingmocked	NPC Moment - Electi Being Mocked
mission_npcmoments_sha_fa_electifriend	NPC Moment - Electi Friend
mission_npcmoments_sha_fa_electirebels	NPC Moment - Electi Rebels
mission_npcmoments_sha_fa_housediscussion	NPC Moment - House Discussion
mission_npcmoments_sha_fa_ripperrobbery	NPC Moment - Ripper Robbery
mission_npcmoments_sha_hub_electichess	NPC Moment - Electi Chess
mission_npcmoments_sha_hub_ripperqueendefeated	NPC Moment - Ripper Queen Defeated
mission_npcmoments_sha_hub_threshertalk	NPC Moment - Thresher Talk
mission_npcmoments_sha_ow_callisloyalty	NPC Moment - Callis' Loyalty
mission_npcmoments_sha_ow_electimoletalk	NPC Moment - Electi Mole Talk
mission_npcmoments_sha_ow_mourningtheripperqueen	NPC Moment - Mourning the Ripper Queen
mission_npcmoments_sha_ow_orderdefection	NPC Moment - Order Defection
mission_npcmoments_sha_ow_psychoargument	NPC Moment - Psycho Argument
mission_npcmoments_sha_ow_ripperandorderstandoff	NPC Moment - Ripper And Order Standoff
mission_npcmoments_sha_ow_ripperexistentialconvo	NPC Moment - Ripper Existential Convo
mission_npcmoments_sha_ow_selfripping	NPC Moment - Self Ripping
mission_npcmoments_sha_ow_timeoffrequest	NPC Moment - Time Off Request
mission_npcmoments_sha_sh_bolttalk	NPC Moment - Electi Chess
mission_npcmoments_sha_sh_electidistrust	NPC Moment - Electi Distrust
mission_pearlgen_gra	Ordonite Up!
mission_pearlgen_mou	Ordonite Up!
mission_pearlgen_sha	Ordonite Up!
mission_repeatable_raid1	Bloomreaper: Time Attack
mission_repeatable_raid1_uvhm	Bloomreaper: Ultimate Vault Hunter
mission_side_agreatdisturbance	Fault Hunting
mission_side_belowthesurface	Below the Surface
mission_side_castingcall	The Power Ballad of Rodd Vomit
mission_side_city_aaaforeffort	AAA for Effort
mission_side_city_waterthechances	Love in the Time of Eridium Poisoning
mission_side_clapgen	Potty Mouth
mission_side_dutybeyonddeath	Voices Carry
mission_side_electifactionmission1	The Council Divided
mission_side_electifactionmission2	A Traitor Within
mission_side_electifactionmission3	The Mole's Gambit
mission_side_flatkairoser	Flat Kairoser
mission_side_grasslandsvault	Primordial Vault: Fadefields
mission_side_heist	The Kairos Job
mission_side_invasive1	Symbiotic Security
mission_side_invasive2	Symbiotic Security Part 2
mission_side_invasiveinvis	Side_Invasive_INVIS
mission_side_lifecoach	Sage Against the Machine
mission_side_lifespurpose	Ready to Blow
mission_side_madscientist	A Call for Help
mission_side_mountainsfaction1	Mob Mentality
mission_side_mountainsfaction2	Mob Rules
mission_side_mountainsfaction3	Angry Mob
mission_side_mountainsfaction4	Mob Justice
mission_side_murdermysterynpcspawnshattered	Murder Mystery
mission_side_noescaperoom	No-Escape Room
mission_side_obstaclecourse_grapple	Peak Performance
mission_side_obstaclecourseglide	Father of the Glide
mission_side_oldraymondpart1	Old Raymond
mission_side_oldraymondpart2	Old Lads
mission_side_onegassyissue	One Gassy Issue
mission_side_planetaryescape	Exit Through the Rift Shop
mission_side_resonatorvault	Primordial Vault: Carcadia Burn
mission_side_romeoandromeo	Star-Crossed
mission_side_safehaven	A Humble Abode
mission_side_seedsofrevolutionpart1	Bad Seed
mission_side_seedsofrevolutionpart2	Bad Seed Pt. 2
mission_side_summoningcircle	Summoner's Gift
mission_side_thecure	Hangover Helper
mission_side_thepriceoffreedompart1	Price of Freedom
mission_side_thepriceoffreedompart2	Price of Freedom Pt. 2
mission_side_thepriceoffreedompart3	Price of Freedom Pt. 3
mission_side_theweirdwayhome	It's a Whole Phase Situation
mission_side_thresherrancher	Breeding Daisies
mission_side_unfinishedbusiness	Ghost Stories
mission_side_vault_glide	Primordial Vault: Terminus Range
mission_side_vending	Vend of the Line
mission_side_whatlurksbeneath	One Slimy Issue
mission_worldbossevent_creature_october	Rift Champion
mission_worldbossevent_default	Rift Champion
mission_worldbossevent_default2	Rift Champion
mission_worldbossevent_default3	Rift Champion
mission_worldbossevent_order_october	Rift Champion
mission_worldbossevent_ripper_october	Rift Champion
mission_worldevent_colosseum	The Goredello
mission_worldevent_colosseum_v2	The Goredello
mission_worldevent_enterairship	Airship
mission_worldevent_enterairship_interior_base	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave1	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave1_lighting_alarm	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave1_lighting_normal	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave2	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave2_lighting_alarm	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave2_lighting_normal	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave2a	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave3	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave3_lighting_alarm	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave3_lighting_normal	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave3a	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave4	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave4_lighting_alarm	World Event: Sabotage Order Base
mission_worldevent_enterairship_interior_wave4_lighting_normal	World Event: Sabotage Order Base
mission_worldevent_meteor_lighting_powered	World Event: Sabotage Order Base
mission_worldevent_meteor_lighting_unpowered	World Event: Sabotage Order Base
mission_worldevent_meteordestroyer	Creep Impact
