row_name	angle	comment	cooldown	custom_01	custom_02	custom_03	custom_04	custom_05	custom_06	custom_07	custom_08	custom_09	custom_10	custom_11	custom_12	custom_13	custom_14	custom_15	custom_16	custom_17	custom_18	dmgmultiplier	duration	halfheight	radius
GrassGuard_TailSlam_Impact	850.000000	Radius = Depth // Angle = Width // HalfHeight = Height // C01 = Distance Adjustment from Root // C10 = MinCooldown // C11 = AITree MinRange // C12 = AITree MaxRange // C13 = Max Angle To Start Attack // C14 = Desired Body Angle		500.000000									3.000000	4000.000000	7000.000000	60.000000	180.000000							500.000000	3000.000000
GrassGuard_TailSlam_AOELanding	360.000000																					0.200000		500.000000	1000.000000
GrassGuard_TailBurrow	360.000000	C01 = DelayBetween1stAnd2ndHit // C02 = Delay Between GPS and Damage // C08 = Desired Body Angle // C09 = Max Angle To Start Attack // C10 = MinCooldown // C11 = AITree Min Range // C12 = AITree MaxRange // C13 = Phase1 MaxLoops // C14 = Phase2 MaxLoops // C15 = Phase3 MaxLoops // C16 = Phase1 % Chance Both Hits Prio Same Target // C17 = Phase2 % Chance Both Hits Prio Same Target // C18 = Phase3 % Chance Both Hits Prio Same Target		1.000000	1.250000						180.000000	40.000000	3.000000		8000.000000	2.000000	2.000000	3.000000	0.250000	0.500000	0.750000	0.900000		800.000000	500.000000
GrassGuard_TailBurrow_GPS		C01 = Min Distance From Boss // C02 = Max Distance From Target // C03 = Min Spacing GPS Points // C04 = Min Spacing 1st and 2nd Hit		1300.000000	3000.000000	200.000000	350.000000																		
GrassGuard_TailBurrow_VelocityPrediction		C01 = DashingVelocityPredic // C02 = DashingForwardOffset // C03 = StandingVelocityPredic // C04 = StandingForwardOffset // C05 = WalkBackVelocityPredic // C06 = WalkBackForwardOffset // C07 = WalkDiagBackVelocityPredic // C08 = WalkDiagBackForwardOffset // C09 = WalkSidewaysVelocityPredic // C10 = WalkSidewaysForwardOffset // C11 = WalkDiagForwardVelocityPredic // C12 = WalkDiagForwardForwardOffset // C13 = WalkForwardVelocityPredic // C14 = WalkForwardForwardOffset // C15 = RunVelocityPredic // C16 = RunForwardOffset // C17 = SlightlyAboveRunSpeedVelocityPredic // C18 = GreatlyAboveRunSpeedVelocityPredic					75.000000		-200.000000	300.000000	100.000000	100.000000	200.000000	300.000000	300.000000	500.000000		1000.000000		1200.000000	1200.000000				
GrassGuard_TailBurrow_Simplified_VelocityPredic		C01 = Max Velocity Prediction // C02 = Default Forward Move Min Prediction Time // C03 = Default Forward Move Max Prediction Time // C04 = Default Forward Move Forward Offset // C06 = Default Back Move Min Prediction Time // C07 = Default Back Move Max Prediction Time // C08 = Default Back Move Forward Offset // C10 = 2ndHitSameAs1stHit Forward Move Min Prediction Time // C11 = 2ndHitSameAs1stHit Forward Move Max Prediction Time // C12 = 2ndHitSameAs1stHit Forward Move Forward Offset // C14 = 2ndHitSameAs1stHit Back Move Min Prediction Time // C15 = 2ndHitSameAs1stHit Back Move Max Prediction Time // C16 = 2ndHitSameAs1stHit Back Move Forward Offset		750.000000	0.500000	1.500000	50.000000		0.250000	1.000000	50.000000		0.100000	0.500000	50.000000		0.250000	1.000000	50.000000						
GrassGuard_TailBurrow_AOE_Linger	360.000000	C01 = DamageInterval // C02 = On Tail Hit Ground Delay Before AOE Damage Linger		0.200000	2.000000																	0.100000		150.000000	1250.000000
GrassGuard_Perch		Duration = UnperchCanStartWarmup // C_01 = CombatStartedWarmup // C_02 = Phase1 Perch Cooldown // C03 = Phase2 Perch Cooldown // C04 = Phase3 Perch Cooldown // C10 = Phase1 Unperch CanStartWarmup // C11 = Phase2 Unperch CanStartWarmup // C12 = Phase3 Unperch CanStartWarmup // C16 = Ticket Ult to Perch Force // C18 = Max Angle To Start Perch		30.000000	45.000000	45.000000	45.000000						8.000000	10.000000	10.000000				3.000000		20.000000		4.000000		
GrassGuard_Perch_LandingDamage	360.000000	C17 = Desired Body Angle // C18 = Success Condition Angle																		180.000000	90.000000	0.500000		800.000000	1200.000000
GrassGuard_Perch_TailPoke	0.000000	Data for the OUTER damage // Cooldown = Damage Circle Width (This Radius - Middle Radius - 5) // C10 = MaxLoopsPhase1 // C11 = MaxLoopsPhase2 // C12 = MaxLoopsPhase3 // C17 = Desired Body Angle // C18 = Max Angle To Start Attack	198.000000										1.000000	1.000000	1.000000					180.000000	60.000000	0.900000		600.000000	800.000000
GrassGuard_Perch_TailPoke_Middle	360.000000																					1.400000		600.000000	600.000000
GrassGuard_VeilBloom		Duration = VeilDuration // C01 = Warmup, C02 = MaxEnemyToSpawn, C03 = VeilActivationDelay, C04 = VeilNumberToSpawn, C05 = MinDelayBetweenVeilSpawns, C06 = MaxDelayBetweenVeilSpawns, C07 = MaxVeilsAliveToSpawnVeils // C12 = OnSpawnDelayBeforeActivation	30.000000	30.000000	1.000000	1.000000	5.000000	0.250000	0.250000	5.000000					0.500000							0.000000	30.000000		
GrassGuard_VeilBloom_Projectile		C01 = ProjectileSpeed // C02 = MaxSpeed // C03 = Acceleration // C04 = Delay Between Projectiles // C05 = ProjAnglePercent		2400.000000			0.100000	0.600000																	
GrassGuard_Leap_LandingDamage	360.000000																					0.100000		800.000000	1200.000000
GrassGuard_Leap_Metrics	3500.000000	DmgMultiplier = Leap Distance // Radius = FilterTooCloseAITarget // Angle = FilterMidRangeLeapTooFar // HalfHeight = Far Leap From Player TooClose // Cooldown = Far Leap From Player TooFar // Duration = Point Near Center MinRange From Center // C01 = LeapIfTooCloseToTarget // C02 = LeapIfTooCloseToTargetFailsafe // C03 = CanMixupLeapIfFurtherThanXFromPlayer // C04 = CanGetCloserLeapIfFurtherThanXFromPlayer // C05 = ApproachAITargetFilterPointsTooFarFromCenter // C15 = Updated Leaps Success Condition Angle // C16 = Updated Leaps Desired Body Angle // C17 = Desired Body Angle Rotate Before Leap // C18 = Success Condition Rotate Before Leap	6000.000000	1500.000000	2000.000000	1500.000000	5500.000000	2000.000000										30.000000	10.000000	180.000000	180.000000	2000.000000	1800.000000	4500.000000	2200.000000
GrassGuard_Leap_Metrics_Ult_And_Perch	3600.000000	DmgMultiplier = MinRangeFromCenterBeforePerching // Radius = MaxRangeFromCenterBeforePerching // Angle = Perch Leap Towards Center If Further Than (should most likely remain same as Radius) // C01 = Ult Leap Towards Center If Further Than //		1150.000000																		1400.000000			3600.000000
GrassGuard_LoopTrick_SpawnSpores		C01 = Spore Spawn Height // C02 = Increment Height On Each New Wave // C03 = Spore Spawn Speed // C04 = Increment Speed On Each New Wave // C05 = Delay Between Waves // C06 = NumberSporesPerWave // C07 = CombatStartedWarmup // C08 = Cooldown Phase1 // C09 = Cooldown Phase2 // C10 = Cooldown Phase3 // C11 = AITree MinRange // C12 = AITree MaxRange // C13 = Max Angle To Start Attack // C14 = Desired Body Angle // C15 = Number Spore Waves Phase1 // C16 = Number  Spore Waves Phase2 // C17 = Number Spore Waves Phase3		1300.000000	100.000000	800.000000	200.000000	1.250000	35.000000	15.000000	25.000000	25.000000	25.000000		4500.000000	40.000000	180.000000	1.000000	2.000000	3.000000					
GrassGuard_LoopTrick_SpawnSpores_GPS_SpawnDestination		C01 = Wave1 Spore Spawn MinRadius // C02 = Wave1 Spore Spawn MaxRadius // C03 = Wave1 Spore Spawn Point Spacing // C04 = Wave2 Spore Spawn MinRadius // C05 = Wave2 Spore Spawn MaxRadius // C06 = Wave2 Spore Spawn Point Spacing // C07 = Wave3 Spore Spawn MinRadius // C08 = Wave3 Spore Spawn MaxRadius // C09 = Wave3 Spore Spawn Point Spacing // C10 = Wave1 Rotate Points On Z Axis // C11 = Wave2 Rotate Points On Z Axis // C12 = Wave3 Rotate Points On Z Axis //			1000.000000	300.000000		1100.000000	350.000000		1200.000000	400.000000		45.000000	90.000000										
GrassGuard_LoopTrick_SpawnSpores_GPS_HomingLocation		C01 = HomingLoc Max Radius Around Arena Center // C02 = HomingLoc Min Spacing Points // C03 = HomingLoc NumPointsToGenerate // C04 = HomingLoc FilterCloseToBoss		10000.000000	350.000000	500.000000	2750.000000																		
GrassGuard_CorrosionSpread	360.000000	Cooldown = MaxSpeed // Duration = Acceleration // C01 = OnExplodeDelayBeforeDamage // C02 = Velocity (Unsure If Still Required) // C03 = ProjectileInitialSpeed // C04 = Delay Between Spawns	2500.000000	2.500000	100.000000		0.020000															0.200000	1000.000000	500.000000	1200.000000
GrassGuard_SpawnCorrosion		C01 = Spawn Projectiles Near Ground Height Offset // C10 = MinimumCooldown (failsafe prevent two uses in a single Perch) // C17 = Desired Body Angle // C18 = Max Angle To Start Attack		150.000000									20.000000							180.000000	180.000000				
GrassGuard_CorrosionZone	360.000000	DmgMultiplier = DamageBurst Damage // Radius = DamageLinger Damage // HalfHeight = DamageBurst Height // Cooldown = DamageLinger Height // Duration = DamageLingerInterval // C01 = SmallRadius // C02 = LargeRadius // C03 = AfterSpawnDelayBeforeDamageBurst // C04 = AfterBurstDelayBeforeDamageLinger // C05 = OnDamageEndDelayBeforeDestroy // C06 = DamageLinger Duration	75.000000	600.000000	1800.000000	2.500000		1.000000	40.000000													0.700000	0.200000	600.000000	0.060000
GrassGuard_CorrosionZone_Metrics		Cooldown = Initial Number GPS Points // Duration = Number Corrosion Zones To Spawn Closer to AITarget // C01 = Min Spacing Corrosion Zones // C02 = Min Spacing Corrosion Zones and Veil // C03 = GPSMaxRadius // C04 = GPSMinSpacingPoints // C05 = ScoreNearAITargetRadius // C06 = FilterTooFarCenter // C07 = FilterTooCloseBoss	1000.000000	1200.000000	1900.000000	10000.000000	200.000000	3500.000000	4000.000000	1000.000000													1.000000		
GrassGuard_Pod		C01= Warmup, C02 = MinSleepingTime, C03 = MaxSleepingTime, C04 = SporesGrowthTime (same as the timeline), C05 = FullyGrownTime // C09 = Body Crit Duration // C10 = OnDestroyedAudioDelay // C11 = OnDestroyedVFXDelay // C12 = PodBaseGrowthTime (Need to update Body VFX manually)	45.000000	15.000000	4.000000	8.000000	5.000000					18.000000	0.500000	1.000000	1.000000										
GrassGuard_BodyPods		C01 = On New Phase Delay Between Pod Spawns // C02 = On Crit End Delay Before New Pod // C07 = Timer Spawn Pods Fight Start // C08 = Timer Spawn Pods Ult Succeed // C09 = Timer Spawn Pods Ult Fail // C10 = Max Body Pods Phase1 // C11 = Max Body Pods Phase2 // C12 = Max Body Pods Phase3		0.200000	3.000000					10.000000	7.000000	1.500000	3.000000	2.000000	1.000000										
GrassGuard_Spore	360.000000	C02 = SporeSpawnVelocity // C05 = HomingVelocity // C06 = DelayBeforeHoming // C07 = On Detonation Timer Initiated Before Explode // C08 = On Detonation Timer Initiated Delay Before Zero Velocity // C14 = Spore Detonation Damage // C15 = Spore Detonation Height // C16 = Spore Detonation Angle // C17 = Spore Detonation Radius			3000.000000			500.000000	0.500000	6.000000	5.000000						0.450000	50.000000	360.000000	600.000000		0.300000			100.000000
GrassGuard_Ultimate_General		DmgMultiplier = DelayBetweenPlatformSpawns // C01 = DelayStartDamageAfterPlatformsSpawned // C02 = CritDamageMultiplier // C08 = TicketUltToPerch // C09 = TicketPerchToUlt // C10 = TicketUltToPokes // C11 = TicketUltToCorrosionSpread // C12 = TicketCorrosionSpreadToUlt // C17 = Desired Body Angle // C18 = Max Rotation To Start Attack		1.500000	2.400000						3.000000	3.000000		6.000000	6.000000					180.000000	40.000000	0.050000			
GrassGuard_Ultimate_Damage	360.000000	Cooldown = DamageInterval // C01 = DamageExpansionTime // C02 = ArenaLingerDuration1st // C03 = ArenaLingerDuration2nd	0.500000	2.000000	40.000000	30.000000																0.190000		125.000000	7000.000000
GrassGuard_Ultimate_GPS_Metrics		Duration = FilterTooFarArenaCenter // DmgMultiplier = NumPointsInitialGPSList // C01 = FilterTooFarBoss // C02 = FilterTooCloseBoss // C03 = MinSpacingInitialPoints // C04 = MinSpacingFinalPoints // C05 = NumPlatformsToSpawn // C06 = LowestPlatformHeight // C07 = PlatformHeightToIncrement // C12 = Circle GPS Radius // C13 = Ult Spores Subtract X From Circle Radius For Target Select		3400.000000	2000.000000	200.000000	1200.000000	12.000000	1400.000000	200.000000					2500.000000	100.000000						900.000000	4000.000000		
GrassGuard_Ultimate_FallingPlatforms	4.000000	DmgMultiplier = TimeBeforeFallStart // Radius = MoveComponentFallTime // Angle = AfterFallTimeBeforeNewSpawn // Height = SpawnTime // C01 = MinDelayBetweenGrappleFeedbacks // C02 = InitiatePlatDestroyXSecondsAfterFallStarts		1.000000	2.500000																	0.500000		2.000000	3.500000
GrassGuard_Ultimate_Spores_General		Cooldown = AverageCooldownPhase1 // Duration = AverageCooldownPhase2 // C01 = RandomXYAroundPlat // C02 = TimeSetHoming // C03 = OffsetZAbovePlat // C04 = HomingVelocity // C05 = UltInitialStartSporeDelayPhase1 // C06 = UltInitialStartSporeDelayPhase2 // C07 = DifficultySpikeTimerPhase1 // C08 = DifficultySpikeTimerPhase2 // C09 = SporesPrioritizePlatformsInsideThisAngle	3.500000	1000.000000	1.000000	300.000000	1200.000000	3.000000	1.000000	20.000000	10.000000	45.000000										0.500000	2.500000		
GrassGuard_Ultimate_Spores_Spawn		C01 = Spore Travel Distance CloseRing // C02 = Spore Travel Distance FarRing // C03 = Delay Between Each Spore Wave		800.000000	2200.000000	1.200000																			
GrassGuard_Death		C01 = OnDeath Delay Before Opening Grapple Rift		2.000000																					
GrassGuard_Adds		C01 = On Fight Start Delay Before Enable Adds Spawner		10.000000																					
BELOW_MOST_LIKELY_TEMP_OR_DELETE																									
