row_name	part_core_atl_protractor	part_core_atl_sureshot	part_core_atl_trackerantenna	part_core_atl_traumabond	part_core_bor_freeloader	part_core_bor_hardcharger	part_core_bor_highroller	part_core_bor_shortcircuit	part_core_cov_coldopen	part_core_cov_ducttape	part_core_cov_smelter	part_core_cov_ventilator	part_core_dad_accelerator	part_core_dad_backupplan	part_core_dad_bulletfabricator	part_core_dad_stockpiler	part_core_hyp_bulwark	part_core_hyp_shockguard	part_core_hyp_stabilizer	part_core_hyp_stimconverter	part_core_jak_bouncepass	part_core_jak_leaper	part_core_jak_piercer	part_core_jak_sequencer	part_core_mal_mixologist	part_core_mal_primedpotency	part_core_mal_synthesizer	part_core_mal_transfuser	part_core_ord_ammogenerator	part_core_ord_freecharger	part_core_ord_muzzlebrake	part_core_ord_powershot	part_core_ted_banger	part_core_ted_digidivider	part_core_ted_extendafriend	part_core_ted_recycler	part_core_tor_airburst	part_core_tor_boompuppy	part_core_tor_explosiception	part_core_tor_headringer	part_core_vla_bottomfeeder	part_core_vla_boxmagazine	part_core_vla_bullethose	part_core_vla_underdog	single
Part_Core_COV_Smelter									NexusSerialized, 3DBBAAEC8D834613A91A1EEB3388DE75, Blizzness	NexusSerialized, 3F92FC2A177A40D7A061E0795EE58686, Quicksilver		NexusSerialized, 2E444894E8284228B3749B033211A516, Smooth Operator																																	NexusSerialized, A0496AA7ED674C0F840443D620B0D708, Rapid Fire
Part_Core_COV_Ventilator									NexusSerialized, 467A6EBBE19F4DEDAF5F3782D2258D59, Glacier	NexusSerialized, ACF4376FC63B4BA9969F47255CAF92CE, Even Keel	NexusSerialized, 265CA460598F4297A35F26D3ED431D34, Smooth Operator																																		NexusSerialized, 8A0879EC5DFF4C919A7C13C5FB9651EF, Hole Punch
Part_Core_DAD_Accelerator														NexusSerialized, B1F8EDAD3F5E47FDA67EAB0ED3126A67, Accumulator	NexusSerialized, 0347EF1673A44C64815CE73FB4B9B2FF, Scion	NexusSerialized, 111D908A4C0B47388F69BAF2F9966412, Gatherer																													NexusSerialized, 11EABB4CC62B4688A850C1AF47418133, Uptick
Part_Core_DAD_BackupPlan													NexusSerialized, 899E1F197A7C4D8293A9ACBDFCD5E404, Accumulator		NexusSerialized, 015662DB031F465DB327681A4A1287EA, Steward	NexusSerialized, 6ED95D5212484173B2D3A0B50D518A27, Collector																													NexusSerialized, 3258A33B87C841CE8F8E4FA2FF4A968E, Stockpiler
Part_Core_DAD_BulletFabricator													NexusSerialized, 611AD5C91AB744E6B3BBDB50649F434E, Scion	NexusSerialized, BB5CD766B5A545E9879385BDF3FE78CB, Steward		NexusSerialized, 9F53F75D5A6C4702A9D7659C89CAA545, Hephaestian																													NexusSerialized, 9CB27F2676934E79BCF2706AA114CEF7, Inheritor
Part_Core_DAD_Stockpiler													NexusSerialized, 31389230DDA744CE9B5AC9392AEB4D9F, Gatherer	NexusSerialized, ED76AA3985884803AF142D6256EAC103, Collector	NexusSerialized, 5855DF904C554DF1806F7ADCF7F794A4, Hephaestian																														NexusSerialized, 0D22AEB2D2CB4DF3AB8FA6C01C7EDDE7, Hoarder
Part_Core_HYP_Bulwark																		NexusSerialized, 7231E829146745DF9A367E5D8FA1C567, Trooper	NexusSerialized, 502EAD0AA2F74263990A17DAA79819C6, Besieger	NexusSerialized, 47F8B284ACF2492B8F99423143D9E68F, Champion																									NexusSerialized, EF6EED12674D467F882B840AB03B6B1A, Vanguard
Part_Core_HYP_ShockGuard																	NexusSerialized, 9C76D1A243DE4032BD1911EE8558795F, Trooper		NexusSerialized, 3178864FA54746598410AC7951F78836, Director	NexusSerialized, 73244308A4BE4AFDAE4EED0A645C0A76, Principal																									NexusSerialized, F8BE56A457C34EB7B72BB18449E5CA90, Volt Action
Part_Core_HYP_Stabilizer																	NexusSerialized, EF40E418318D422CB4BF35D5D0C8F265, Besieger	NexusSerialized, D06FA3616F2A400E80E9241F65AD3986, Director		NexusSerialized, C29DBC57B13A4139B3860C7D3F231399, Stalwart																									NexusSerialized, A65E2E47B2814E609E8CBE8A5B13F0AF, Confidant
Part_Core_HYP_StimConverter																	NexusSerialized, 65A44B6183FD4E6B8124D4137158FD2D, Champion	NexusSerialized, 3AB03D9043EB4691AAD4BFD5ECBA2708, Principal	NexusSerialized, E2656CEFDFA24013A3CD8F1A6354E782, Stalwart																										NexusSerialized, 605C291FF2E646AAB069C711E8A7617F, Insurance
Part_Core_JAK_BouncePass																						NexusSerialized, 2A39AFB44BA148DE8C4C1168AA548AFA, Blind Box	NexusSerialized, 495A89BA906A4A939915C1736A8AF41E, Quintain	NexusSerialized, 26E93D9016BF479282B7823CEFDF95C8, Hat Trick																					NexusSerialized, 5EF7DA602ED144398B1434A92E180517, Trick Shot
Part_Core_JAK_Leaper																					NexusSerialized, F1122BAE91BE41A481158D50BCA35C74, Blind Box		NexusSerialized, 4F73BE37004F49DE9921263539E61452, Ladykiller	NexusSerialized, 017DD69E31B6429CAEF224D8EEBC7870, Scattershot																					NexusSerialized, 4DC6EFFC25E84F1D88845D9D75458068, Sampler
Part_Core_JAK_Piercer																					NexusSerialized, 214BF2DCA62245E38E3D0FFB5A601E9F, Quintain	NexusSerialized, 828738669D1B4481B3AEDEEBC8CC449A, Ladykiller		NexusSerialized, 695186C42525491EAD167BE05D1DC7FC, Multistrike																					NexusSerialized, 8D65C6EA031044A78640D3225F12C00B, Widowmaker
Part_Core_JAK_Sequencer																					NexusSerialized, 6BF01EF6033E4CC88F66D43C0974D1D2, Hat Trick	NexusSerialized, CFCB31BE674B49428FBDAAA4F1BAA3EA, Scattershot	NexusSerialized, AE6DF9AD283745D69C16D36D27BE028A, Multistrike																						NexusSerialized, 0D32496463134005ADDBAA63F5C82632, Hawkeye
Part_Core_MAL_Mixologist																										NexusSerialized, 86DB350B244245B9A84E7A85880AC8C4, Assuit	NexusSerialized, 9A35413681CC46E78564D90BCDA9CDE0, Lamé	NexusSerialized, CD00C797872648A7AED8A57E2A832920, Toile																	NexusSerialized, 7C15491CA67E471EB286E99B8DF6C09C, Houndstooth
Part_Core_MAL_PrimedPotency																									NexusSerialized, 4E6BDDB2A2AE479E936649F9A2C29D27, Assuit		NexusSerialized, 7CCCCB0B24674418B2251FE3FA8F7ABF, Maestro	NexusSerialized, B735E3338E92443CA72C7209CBD4C9A6, Icon																	NexusSerialized, 4767A5C484FA4C369853AD8707F3D9CB, Premiere
Part_Core_MAL_Synthesizer																									NexusSerialized, DC77505341844FF8B541DD5F8704D286, Lamé	NexusSerialized, 828D294AB9C9429F9F3F37CB42794C7E, Maestro		NexusSerialized, 51C30FAE391A4B4096FEB691A182AF8A, Fashionista																	NexusSerialized, 6A55F51337364B5593DDF7B8BE7DBB09, Haute Shot
Part_Core_MAL_Transfuser																									NexusSerialized, ABC164C017194402B2D2A05BD9AEC27C, Toile	NexusSerialized, A877E11F1D5F45798FA6E206462A5D4D, Icon	NexusSerialized, B9462CE4D5F240E096ED85A38CC21FE1, Fashionista																		NexusSerialized, 8AD7471C0A4845BC9593EF575D2A44B7, Trendsetter
Part_Core_ORD_AmmoGenerator																														NexusSerialized, 3A8EC92A925240538BBEB1F6481DB6F6, Looper	NexusSerialized, A1459710D0CD42199456CB608C5E165A, Parallaxis	NexusSerialized, B4BD2365499E4D45B3C24BFFE2D6E5DC, Ouroboros													NexusSerialized, 095DDF2ED34146009EA0D2E03BA4B779, Eternity
Part_Core_ORD_FreeCharger																													NexusSerialized, C90B5AE261BB42E08BD07DED7694501A, Looper		NexusSerialized, B88C12292FE943F089CA2D96C709FE9C, Entangler	NexusSerialized, 2E1DD13D3BD7435A8BD8532DFB30D982, Primadiem													NexusSerialized, 4C236BCA96554D2589D41AED3E6417F7, Leap Year
Part_Core_ORD_MuzzleBrake																													NexusSerialized, A65BCF4800F248EE908455CDF1DC6680, Parallaxis	NexusSerialized, 869A11C324D14DB38BBFE236C565F20A, Entangler		NexusSerialized, C966BD941D2D472A9492CD9088593BDD, Evolver													NexusSerialized, DF5DFF59B1E4447696BE7EA5DB77A9B7, Celeritas
Part_Core_ORD_PowerShot																													NexusSerialized, 226406A7FB504672BBC591D1D2A4D5CC, Ouroboros	NexusSerialized, 5CF0CF40B307478784C6C6C8917FF0EE, Primadiem	NexusSerialized, 157967B0CAAA4F2E877802BB545D8521, Evolver														NexusSerialized, 6A197DCCC3204021BBAD4517AA0F53F7, Genesis
Part_Core_TED_Banger																																		NexusSerialized, 8A83908FF78D466EBD85066A441D9797, Hydrator	NexusSerialized, 05CF4FB85C2842EEAF7035751A4888AF, Gummy	NexusSerialized, 4D12D961245C459C99B65E25C59A493D, Quencher									NexusSerialized, F781232A53C64E539BD8279EA149C720, 100% Real Juice
Part_Core_TED_ExtendaFriend																																	NexusSerialized, DF48932038864193B57CE0A750722389, Gummy	NexusSerialized, EE8BA48A7B934B60B8FFD0AD664726C9, Extension		NexusSerialized, BE081C3ABB7D490AAB3ECA89555D598E, Value-Add									NexusSerialized, 8CCBD82C53C342BBAD0B07A759C6BFF2, Social Integration
Part_Core_TED_Recycler																																	NexusSerialized, F565F7DBDB45417D95C70C59F1FA5EF2, Quencher	NexusSerialized, 3C357F64CCC2478B8F50DC37FEF130EB, Valuepalooza	NexusSerialized, 3F45B005EB764C74BD0317757A7B9966, Value-Add										NexusSerialized, B45E877D389E4DDF8FCD185A2DABC52F, Value Mag
Part_Core_TED_Digidivider																																	NexusSerialized, 2EF5CF43641F4C67917287A3C940444E, Hydrator		NexusSerialized, 011C286A7DE04E718505A4F9985E1B66, Extension	NexusSerialized, 847DF87BD5144B70BDFDAD6EB86F6EE4, Valuepalooza									NexusSerialized, 6E28BE647BB64DE2868833BA372E972B, Family Pack
Part_Core_TOR_AirBurst																																						NexusSerialized, C6B8F8B313EF4064A104274D1123DC6F, Flashpan	NexusSerialized, 2D77F76DCD514784892FB6A641D62B07, Jackhammer	NexusSerialized, 4023C42980924E699956C06F48A7013A, Pumper					NexusSerialized, 4168C7FE86314A3F82A8340B88B27F83, Premature Detonator
Part_Core_TOR_Boompuppy																																					NexusSerialized, 6047C5326F6049DB962ACE48E049864D, Flashpan		NexusSerialized, F4F7A05B085443FD94F9B5DFDD22DFFF, Body Counter	NexusSerialized, 30C97D0BAA5C4077ADEB3EE93E06A9AB, Big Banger					NexusSerialized, 96C4E1AEB9FA4506A7E2714605D242F3, Bang Ganger
Part_Core_TOR_Explosiception																																					NexusSerialized, 07754AA723F94D8795FFC5B79F2D49BF, Jackhammer	NexusSerialized, 524C9ADFCAE14BC6ACA87A0FBBBBFF3B, Body Counter		NexusSerialized, 047E4CACE0734B5B8AEB06DC1FACDB87, Studfinder					NexusSerialized, C048C8208D9C4CA2B5E5CF51BC25732B, Cherry Popper
Part_Core_TOR_HeadRinger																																					NexusSerialized, 730413E4A62D4F42B3EAF8D92B97EC1B, Pumper	NexusSerialized, AC0F86763F83418DB5596F82CD6FCBF8, Big Banger	NexusSerialized, 526494E421A940C889F4637780B359D6, Studfinder						NexusSerialized, 08F7B10ACEDD4E119334972963FE46C7, Pounder
Part_Core_VLA_BottomFeeder																																										NexusSerialized, 5B703245802B44DFB24EC51577D88923, Labor Movement	NexusSerialized, 045D2683D9284C8A86ADC6DFC784BFF9, Riot Hose	NexusSerialized, 6F4CCA2BC629413B8A72CC372F0EF62A, Dog Movement	NexusSerialized, 7330D72019E6485E8D09E3806B095BEB, Grassroots Movement
Part_Core_VLA_BoxMagazine																																									NexusSerialized, 4DBCD78109D045EBB048D9964EF716AC, Labor Movement		NexusSerialized, 65C11F261E5D47F1BEE88742991498CC, Hero of Bullet	NexusSerialized, 900397EAC4E14080860982291EC89289, Dog of Labor	NexusSerialized, 3522ACAB496B46488A951145A8E8403B, Hero of Labor
Part_Core_VLA_BulletHose																																									NexusSerialized, 47A4514E4511444085851195583A8F05, Riot Hose	NexusSerialized, F2519D368E614270AD8B822D9151D00D, Hero of Bullet		NexusSerialized, B85CB9078E5444198E5D7E70E48ABE27, Bullet Dog	NexusSerialized, 9169062D9393472F836FB8598B220027, Lead Curtain
Part_Core_VLA_Underdog																																									NexusSerialized, FAC780E071054340ADD2A7E0B77DE3D3, Dog Movement	NexusSerialized, B4C60D132D984BB1ADE391BB0FB90E71, Dog of Labor	NexusSerialized, EA852712A09C49C2A588E153221AED48, Bullet Dog		NexusSerialized, 33FA58D4074A47329D580AFDA311D0C4, Dog of War
